id,start_time,end_time,duration,window_id,window_class,window_title
113,2018-03-27 13:41:25,2018-03-27 13:41:25,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
114,2018-03-27 13:41:25,2018-03-27 13:41:25,0,41943540,urxvt,i3-tracker-rs: cargo run
115,2018-03-27 14:17:29,2018-03-27 14:17:29,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
116,2018-03-27 14:17:29,2018-03-27 14:17:31,2,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
117,2018-03-27 14:17:29,2018-03-27 14:17:33,4,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
118,2018-03-27 14:17:29,2018-03-27 14:17:35,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
119,2018-03-27 14:17:29,2018-03-27 14:17:37,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
120,2018-03-27 14:17:38,2018-03-27 14:17:38,0,41943540,urxvt,i3-tracker-rs: cargo run
121,2018-03-27 14:17:38,2018-03-27 14:17:39,1,41943540,urxvt,i3-tracker-rs: cargo run
122,2018-03-27 14:17:38,2018-03-27 14:17:40,2,41943540,urxvt,i3-tracker-rs: cargo run
123,2018-03-27 14:17:38,2018-03-27 14:17:41,3,41943540,urxvt,i3-tracker-rs: cargo run
124,2018-03-27 14:17:38,2018-03-27 14:17:42,4,41943540,urxvt,i3-tracker-rs: cargo run
125,2018-03-27 14:19:35,2018-03-27 14:19:35,0,41943540,urxvt,i3-tracker-rs: cargo run
126,2018-03-27 14:19:36,2018-03-27 14:19:36,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
127,2018-03-27 14:19:40,2018-03-27 14:19:40,0,41943540,urxvt,i3-tracker-rs: cargo run
128,2018-03-27 14:19:42,2018-03-27 14:19:42,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
129,2018-03-27 14:19:42,2018-03-27 14:19:42,0,29360144,Navigator,i3-tracker-rs/time_tracker.rs at master · danbruce/i3-tracker-rs - Mozilla Firefox
130,2018-03-27 14:19:43,2018-03-27 14:19:43,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
131,2018-03-27 14:19:47,2018-03-27 14:19:47,0,41943540,urxvt,i3-tracker-rs: cargo run
132,2018-03-27 14:20:33,2018-03-27 14:20:33,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
133,2018-03-27 14:20:37,2018-03-27 14:20:37,0,41943540,urxvt,i3-tracker-rs: cargo run
134,2018-03-27 14:20:38,2018-03-27 14:20:38,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
135,2018-03-27 14:20:41,2018-03-27 14:20:41,0,48234497,code,● main.rs - i3-tracker-rs - Visual Studio Code
136,2018-03-27 14:20:42,2018-03-27 14:20:42,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
137,2018-03-27 14:20:43,2018-03-27 14:20:43,0,41943540,urxvt,i3-tracker-rs: cargo run
138,2018-03-27 14:21:35,2018-03-27 14:21:35,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
139,2018-03-27 14:21:41,2018-03-27 14:21:41,0,41943540,urxvt,i3-tracker-rs: cargo run
140,2018-03-27 14:24:05,2018-03-27 14:24:05,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
141,2018-03-27 14:24:07,2018-03-27 14:24:07,0,41943540,urxvt,i3-tracker-rs: cargo run
142,2018-03-27 14:24:07,2018-03-27 14:24:07,0,41943540,urxvt,i3-tracker-rs: cargo run
143,2018-03-27 14:24:07,2018-03-27 14:24:09,2,41943540,urxvt,i3-tracker-rs: cargo run
144,2018-03-27 14:24:07,2018-03-27 14:24:09,2,41943540,urxvt,i3-tracker-rs: cargo run
145,2018-03-27 14:24:07,2018-03-27 14:24:11,4,41943540,urxvt,i3-tracker-rs: cargo run
146,2018-03-27 14:24:07,2018-03-27 14:24:11,4,41943540,urxvt,i3-tracker-rs: cargo run
147,2018-03-27 14:24:07,2018-03-27 14:24:13,6,41943540,urxvt,i3-tracker-rs: cargo run
148,2018-03-27 14:24:07,2018-03-27 14:24:13,6,41943540,urxvt,i3-tracker-rs: cargo run
149,2018-03-27 14:24:07,2018-03-27 14:24:15,8,41943540,urxvt,i3-tracker-rs: cargo run
150,2018-03-27 14:24:07,2018-03-27 14:24:15,8,41943540,urxvt,i3-tracker-rs: cargo run
151,2018-03-27 14:24:16,2018-03-27 14:24:16,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
152,2018-03-27 14:24:16,2018-03-27 14:24:16,0,41943540,urxvt,i3-tracker-rs: cargo run
153,2018-03-27 14:24:16,2018-03-27 14:24:17,0,41943540,urxvt,i3-tracker-rs: cargo run
154,2018-03-27 14:24:16,2018-03-27 14:24:17,1,41943540,urxvt,i3-tracker-rs: cargo run
155,2018-03-27 14:24:16,2018-03-27 14:24:18,1,41943540,urxvt,i3-tracker-rs: cargo run
156,2018-03-27 14:24:16,2018-03-27 14:24:18,2,41943540,urxvt,i3-tracker-rs: cargo run
157,2018-03-27 14:24:16,2018-03-27 14:24:19,2,41943540,urxvt,i3-tracker-rs: cargo run
158,2018-03-27 14:24:16,2018-03-27 14:24:19,3,41943540,urxvt,i3-tracker-rs: cargo run
159,2018-03-27 14:24:16,2018-03-27 14:24:20,3,41943540,urxvt,i3-tracker-rs: cargo run
160,2018-03-27 14:24:16,2018-03-27 14:24:20,4,41943540,urxvt,i3-tracker-rs: cargo run
161,2018-03-27 14:24:16,2018-03-27 14:24:21,4,41943540,urxvt,i3-tracker-rs: cargo run
162,2018-03-27 14:24:16,2018-03-27 14:24:21,5,41943540,urxvt,i3-tracker-rs: cargo run
163,2018-03-27 14:24:16,2018-03-27 14:24:22,5,41943540,urxvt,i3-tracker-rs: cargo run
164,2018-03-27 14:24:16,2018-03-27 14:24:22,6,41943540,urxvt,i3-tracker-rs: cargo run
165,2018-03-27 14:27:01,2018-03-27 14:27:01,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
166,2018-03-27 14:27:03,2018-03-27 14:27:03,0,48234497,code,● main.rs - i3-tracker-rs - Visual Studio Code
167,2018-03-27 14:27:03,2018-03-27 14:27:03,0,48234497,code,● main.rs - i3-tracker-rs - Visual Studio Code
168,2018-03-27 14:27:04,2018-03-27 14:27:04,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
